sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Aimee Chair in Nomad Snow",,Default,simple,"Products list/Products/Chairs",base,"Aimee Chair in Nomad Snow",,,,1,"Taxable Goods","Catalog, Search",280000.000000,,,,aimee-chair-in-nomad-snow,"Aimee Chair in Nomad Snow","Aimee Chair in Nomad Snow","Aimee Chair in Nomad Snow ",/a/i/aimee_chair_in_nomad_snow.jpeg,,/a/i/aimee_chair_in_nomad_snow.jpeg,,/a/i/aimee_chair_in_nomad_snow.jpeg,,/a/i/aimee_chair_in_nomad_snow.jpeg,,"21:06, 28/11/2024","21:30, 28/11/2024",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/i/aimee_chair_in_nomad_snow.jpeg,,,,,,,,,,,,,,
logo,,Default,simple,"Products list/Products/Chairs",base,logo,,,,1,"Taxable Goods","Catalog, Search",1.000000,,,,logo,logo,logo,"logo ",/l/o/logo-atm.png,,/l/o/logo-atm.png,,/l/o/logo-atm.png,,/l/o/logo-atm.png,,"15:43, 29/11/2024","15:47, 29/11/2024",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,3.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/l/o/logo-atm.png,/l/o/logo-visa-master-jcb.png,/p/r/primary_logo_2x.png",",,",,,,,,,,,,,,,
